model_name,subset,question_type,average_score,num_samples
Gemma3,btcmri,tumor_type,3.56,1302
Gemma3,btcmri,image_type,8.08,1301
Gemma3,btcmri,tumor_presence,7.6,1294
Gemma3,btcmri,caption,5.52,671
InternVL,btcmri,tumor_presence,6.64,1290
InternVL,btcmri,tumor_type,3.26,1299
InternVL,btcmri,image_type,8.98,1290
InternVL,btcmri,caption,4.77,1302
Gemma3,btmri,image_type,8.12,392
Gemma3,btmri,tumor_presence,7.73,384
Gemma3,btmri,tumor_type,4.11,392
Gemma3,btmri,caption,4.83,389
MLlama,btcmri,image_type,3.32,1305
MLlama,btcmri,tumor_presence,2.92,1285
MLlama,btcmri,tumor_type,2.85,1291
MLlama,btcmri,caption,1.95,1291
Qwen,btmri,tumor_presence,6.57,380
Qwen,btmri,image_type,6.75,391
Qwen,btmri,tumor_type,3.13,393
Qwen,btmri,caption,4.21,390
InternVL,btmri,image_type,9.18,390
InternVL,btmri,tumor_presence,7.41,386
InternVL,btmri,tumor_type,3.96,391
InternVL,btmri,caption,5.04,391
LlavaOneVision,btcmri,image_type,5.85,1305
LlavaOneVision,btcmri,tumor_presence,6.75,1284
LlavaOneVision,btcmri,tumor_type,3.29,1296
LlavaOneVision,btcmri,caption,4.24,1303
MLlama,btmri,tumor_presence,2.8,389
MLlama,btmri,image_type,3.46,392
MLlama,btmri,tumor_type,2.87,390
MLlama,btmri,caption,1.92,388
NeuroChat,btcmri,tumor_presence,9.42,1278
NeuroChat,btcmri,tumor_type,8.37,1293
NeuroChat,btcmri,image_type,8.87,1293
NeuroChat,btcmri,caption,5.27,1302
NeuroChat,btmri,tumor_type,7.19,393
NeuroChat,btmri,tumor_presence,8.7,384
NeuroChat,btmri,image_type,8.81,385
NeuroChat,btmri,caption,4.75,390
Qwen,btcmri,tumor_presence,5.22,1289
Qwen,btcmri,tumor_type,3.0,1303
Qwen,btcmri,image_type,6.26,1301
Qwen,btcmri,caption,4.18,1298
LlavaOneVision,btmri,tumor_presence,8.33,383
LlavaOneVision,btmri,image_type,6.13,394
LlavaOneVision,btmri,tumor_type,3.71,387
LlavaOneVision,btmri,caption,4.33,390
