id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
1,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,The scan appears normal.,"```json
{""answer"": ""Yes, a tumor appears to be present in the right frontal lobe.""}
```"
2,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,tumor_type,Provide short and direct answer for the user's question.What tumor subtype is this?,What tumor subtype is this?,No tumor present.,"```json
{""answer"": ""Based on the image, it appears to be a glioblastoma (GBM).""}
```"
3,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,Scan is from axial direction.,"```json
{""answer"": ""Axial""}
```"
4,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,"No, there is no tumor present.","```json
{""answer"": ""Yes, there appears to be an abnormal area of low density in the right frontal lobe, suggestive of a possible lesion or stroke.""}
```"
5,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{""answer"": ""Glioblastoma""}
```"
6,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,image_type,Provide short and direct answer for the user's question.Identify the image orientation.,Identify the image orientation.,View type: axial.,"```json
{""answer"": ""Axial""}
```"
7,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,"No, there is no tumor present.","```json
{""answer"": ""Yes, there appears to be an area of increased density in the right hemisphere, suggestive of a possible lesion or hemorrhage.""}
```"
8,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{""answer"": ""Based on the image, it appears to show a meningioma.""}
```"
9,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,Scan is from axial direction.,"```json
{""answer"": ""CT scan (axial view)""}
```"
10,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,No tumor is detected here.,"```json
{""answer"": ""It is not possible to definitively determine the presence of a tumor from this single MRI image. Further evaluation and comparison with prior imaging would be needed.""}
```"
