id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
1,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,The image does not show a tumor.,"```json
{""answer"": ""Yes, the MRI image appears to show a tumor in the posterior fossa.""}
```"
2,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{""answer"": ""Based on the image, it appears to be a pituitary adenoma.""}
```"
3,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,image_type,Provide short and direct answer for the user's question.What image type is displayed here?,What image type is displayed here?,Axial slice is shown.,"```json
{""answer"": ""MRI""}
```"
4,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,The image does not show a tumor.,"```json
{""answer"": ""Yes, a tumor appears to be present in the scan.""}
```"
5,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{""answer"": ""Choroid plexus cyst""}
```"
6,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,image_type,Provide short and direct answer for the user's question.Which anatomical plane is used?,Which anatomical plane is used?,Axial slice is shown.,"```json
{""answer"": ""Axial""}
```"
7,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor can be seen.,"```json
{""answer"": ""It is not possible to definitively determine if a tumor is present based on this single MRI image alone. Further evaluation and comparison with prior imaging would be necessary.""}
```"
8,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_type,Provide short and direct answer for the user's question.Which tumor type does this image show?,Which tumor type does this image show?,No tumor present.,"```json
{""answer"": ""Based on the image, it appears to show hydrocephalus, not a tumor.""}
```"
9,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,Axial perspective image.,"```json
{""answer"": ""Axial""}
```"
10,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor can be seen.,"```json
{""answer"": ""Yes, the MRI image appears to show a lesion or tumor in the right temporal lobe.""}
```"
11,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_type,Provide short and direct answer for the user's question.What kind of tumor is present in the image?,What kind of tumor is present in the image?,No tumor present.,"```json
{""answer"": ""Astrocytoma""}
```"
