id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
1,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",Does this MRI image show a tumor?,The image does not show a tumor.,"```json
{""answer"": ""No""}
```"
2,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",Can you tell the type of tumor shown?,No tumor present.,"```json
{""answer"": ""The image shows a brain tumor, but the specific type cannot be determined without further medical analysis and context.""}
```"
3,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",What image type is displayed here?,Axial slice is shown.,"```json
{""answer"": ""MRI scan""}
```"
4,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",Is a tumor present in the scan provided?,The image does not show a tumor.,"```json
{""answer"": ""No""}
```"
5,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",What specific tumor is present here?,No tumor present.,"```json
{""answer"": ""The image shows a brain hemorrhage, not a tumor. It appears to be an intracerebral hemorrhage based on the imaging characteristics.""}
```"
6,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",Which anatomical plane is used?,Axial slice is shown.,"```json
{""answer"": ""Axial""}
```"
7,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",Does this MRI image show a tumor?,No tumor can be seen.,"```json
{""answer"": ""No""}
```"
8,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",Which tumor type does this image show?,No tumor present.,"```json
{""answer"": ""This image shows a meningioma.""}
```"
9,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",What's the viewing angle here?,Axial perspective image.,"```json
{""answer"": ""Axial view""}
```"
10,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are Qwen, created by Alibaba Cloud. You are a helpful assistant.<|im_end|>\n<|im_start|>user\n<image>\nProvide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': <PIL.Image.Image image mode=RGB size=236x236 at 0x14B029BA0F10>}}",Does this MRI image show a tumor?,No tumor can be seen.,"```json
{""answer"": ""No""}
```"
