id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
1,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,The scan appears normal.,"```json
{
  ""answer"": ""No tumor present""
}
```"
2,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,tumor_type,Provide short and direct answer for the user's question.What tumor subtype is this?,What tumor subtype is this?,No tumor present.,"```json
{
  ""answer"": ""The tumor subtype cannot be determined from this image alone. A professional medical diagnosis is required.""
}
```"
3,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,Scan is from axial direction.,"```json
{
  ""answer"": ""Axial""
}
```"
4,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,"No, there is no tumor present.","```json
{
  ""answer"": ""No abnormal growth detected""
}
```"
5,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""The image appears to show a brain tumor, but without medical expertise and additional context, it's not possible to provide a specific type of tumor. Please consult a healthcare professional for an accurate diagnosis.""
}
```"
6,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,image_type,Provide short and direct answer for the user's question.Identify the image orientation.,Identify the image orientation.,View type: axial.,"{""answer"": ""Axial"""
7,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,"No, there is no tumor present.","```json
{
  ""answer"": ""No abnormal growth detected""
}
```"
8,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""The image shows a brain tumor, but without more context or medical expertise, I cannot provide a specific type of tumor.""
}
```"
9,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,Scan is from axial direction.,"{""answer"": ""Axial"""
10,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,No tumor is detected here.,"```json
{
  ""answer"": ""The MRI does not show signs of a tumor.""
}
```"
11,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""Brain tumor""
}
```"
12,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,image_type,Provide short and direct answer for the user's question.In which direction is this MRI taken?,In which direction is this MRI taken?,This is a sagittal view.,"```json
{
  ""answer"": ""Axial""
}
```"
13,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0014.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,"```json
{
  ""answer"": ""No abnormal growth detected.""
}
```"
14,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0014.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""The image shows a brain MRI scan. There is a visible brain tumor located in the left hemisphere, near the frontal lobe. The tumor appears to be a type of glioma, which is a common type of brain tumor. However, without more specific information or a medical professional's diagnosis, it is not possible to determine the exact type of glioma present.""
}
```"
15,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0014.jpg,image_type,Provide short and direct answer for the user's question.What is the imaging perspective?,What is the imaging perspective?,Axial perspective image.,"```json
{
  ""answer"": ""Axial""
}
```"
16,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0015.jpg,tumor_presence,Provide short and direct answer for the user's question.Can a tumor be observed in the image?,Can a tumor be observed in the image?,The image does not show a tumor.,"```json
{
  ""answer"": ""No tumor observed""
}
```"
