id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
1,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,The image does not show a tumor.,"```json
{
  ""answer"": ""No tumor detected""
}
```"
2,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""The image shows a brain tumor, but without specific medical context or additional information, I cannot provide a detailed diagnosis or type of tumor.""
}
```"
3,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,image_type,Provide short and direct answer for the user's question.What image type is displayed here?,What image type is displayed here?,Axial slice is shown.,"```json
{
  ""answer"": ""MRI scan""
}
```"
4,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,The image does not show a tumor.,"```json
{
  ""answer"": ""No tumor present""
}
```"
5,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{
  ""answer"": ""The specific tumor present here is a brain tumor.""
}
```"
6,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,image_type,Provide short and direct answer for the user's question.Which anatomical plane is used?,Which anatomical plane is used?,Axial slice is shown.,"{""answer"": ""Axial plane"""
7,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor can be seen.,"```json
{
  ""answer"": ""No tumor detected""
}
```"
8,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_type,Provide short and direct answer for the user's question.Which tumor type does this image show?,Which tumor type does this image show?,No tumor present.,"```json
{
  ""answer"": ""The image shows a brain tumor.""
}
```"
9,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,Axial perspective image.,"{""answer"": ""Axial view"""
10,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor can be seen.,"```json
{
  ""answer"": ""The MRI image does not show a tumor.""
}
```"
11,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_type,Provide short and direct answer for the user's question.What kind of tumor is present in the image?,What kind of tumor is present in the image?,No tumor present.,"```json
{
  ""answer"": ""The image shows a brain tumor, but without specific medical expertise or additional context, it's not possible to provide an accurate diagnosis. Please consult a healthcare professional for a proper evaluation.""
}
```"
12,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,View type: axial.,"{""answer"": ""Axial"""
13,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,No indication of tumor.,"```json
{
  ""answer"": ""No tumor detected""
}
```"
14,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{
  ""answer"": ""The specific tumor present here is a brain tumor.""
}
```"
15,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,image_type,Provide short and direct answer for the user's question.Identify the image orientation.,Identify the image orientation.,Sagittal type image.,"```json
{
  ""answer"": ""Axial""
}
```"
16,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,The image is tumor-free.,"```json
{
  ""answer"": ""No tumor detected""
}
```"
17,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""The image shows a brain MRI with a visible tumor in the left hemisphere, near the frontal lobe. The exact type of tumor cannot be determined without further medical context or expertise.""
}
```"
18,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,Scan is from coronal direction.,"{""answer"": ""Axial view"""
19,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor is detected here.,"```json
{
  ""answer"": ""The MRI image does not show a tumor.""
}
```"
20,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,tumor_type,Provide short and direct answer for the user's question.What is the detected tumor type?,What is the detected tumor type?,No tumor present.,"```json
{
  ""answer"": ""The detected tumor type is a brain tumor.""
}
```"
21,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,image_type,Provide short and direct answer for the user's question.What is the view type of this image?,What is the view type of this image?,Axial perspective image.,ANSWER HERE
22,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,"No, there is no tumor present.","```json
{
  ""answer"": ""No tumor present""
}
```"
23,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,tumor_type,Provide short and direct answer for the user's question.What is the detected tumor type?,What is the detected tumor type?,No tumor present.,"```json
{
  ""answer"": ""The detected tumor type is a brain tumor.""
}
```"
24,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,image_type,Provide short and direct answer for the user's question.What kind of image view is this?,What kind of image view is this?,Axial slice is shown.,"```json
{
  ""answer"": ""Axial MRI scan""
}
```"
25,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(8).jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,"No, there is no tumor present.","```json
{
  ""answer"": ""No tumor detected""
}
```"
26,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(8).jpg,tumor_type,Provide short and direct answer for the user's question.What tumor subtype is this?,What tumor subtype is this?,No tumor present.,"```json
{
  ""answer"": ""The tumor subtype is not identifiable from this image alone.""
}
```"
27,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(8).jpg,image_type,Provide short and direct answer for the user's question.What image type is displayed here?,What image type is displayed here?,Axial type image.,"```json
{
  ""answer"": ""MRI scan""
}
```"
28,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(9).jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,"```json
{
  ""answer"": ""No abnormal growth detected""
}
```"
29,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(9).jpg,tumor_type,Provide short and direct answer for the user's question.What tumor subtype is this?,What tumor subtype is this?,No tumor present.,"```json
{
  ""answer"": ""The tumor subtype is not identifiable from this image alone.""
}
```"
30,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(9).jpg,image_type,Provide short and direct answer for the user's question.What kind of image view is this?,What kind of image view is this?,Orientation: axial.,"```json
{
  ""answer"": ""Axial MRI scan of the brain""
}
```"
31,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(10).jpg,tumor_presence,Provide short and direct answer for the user's question.Can a tumor be observed in the image?,Can a tumor be observed in the image?,No growth is present.,"```json
{
  ""answer"": ""No tumor observed""
}
```"
32,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(10).jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""The image shows a brain tumor, but without more context or medical expertise, I cannot provide a specific type of tumor.""
}
```"
33,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(10).jpg,image_type,Provide short and direct answer for the user's question.Which plane is shown in the image?,Which plane is shown in the image?,Axial plane is shown.,"{""answer"": ""Axial plane"""
34,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(11).jpg,tumor_presence,Provide short and direct answer for the user's question.Is there a tumor visible in this scan?,Is there a tumor visible in this scan?,There’s no abnormality in the image.,"```json
{
  ""answer"": ""No tumor visible""
}
```"
35,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(11).jpg,tumor_type,Provide short and direct answer for the user's question.Identify the tumor type in this scan.,Identify the tumor type in this scan.,No tumor present.,"```json
{
  ""answer"": ""The tumor type cannot be identified from this image alone. A medical professional would need to analyze the image in the context of the patient's symptoms and medical history to provide an accurate diagnosis.""
}
```"
36,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(11).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,View type: axial.,"{""answer"": ""Axial"""
37,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(12).jpg,tumor_presence,Provide short and direct answer for the user's question.Can a tumor be observed in the image?,Can a tumor be observed in the image?,There’s no abnormality in the image.,"```json
{
  ""answer"": ""No tumor observed""
}
```"
38,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(12).jpg,tumor_type,Provide short and direct answer for the user's question.What tumor subtype is this?,What tumor subtype is this?,No tumor present.,"```json
{
  ""answer"": ""The tumor subtype is not identifiable from this image alone.""
}
```"
39,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(12).jpg,image_type,Provide short and direct answer for the user's question.What is the imaging perspective?,What is the imaging perspective?,Orientation: axial.,"```json
{
  ""answer"": ""Axial""
}
```"
40,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(13).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor can be seen.,"```json
{
  ""answer"": ""Yes, the MRI image shows a tumor.""
}
```"
41,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(13).jpg,tumor_type,Provide short and direct answer for the user's question.What is the classification of this tumor?,What is the classification of this tumor?,No tumor present.,"```json
{
  ""answer"": ""The tumor is classified as a primary brain tumor.""
}
```"
42,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(13).jpg,image_type,Provide short and direct answer for the user's question.What kind of image view is this?,What kind of image view is this?,This is an axial view.,"```json
{
  ""answer"": ""Axial""
}
```"
43,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(14).jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,The image does not show a tumor.,"```json
{
  ""answer"": ""No abnormal growth detected.""
}
```"
44,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(14).jpg,tumor_type,Provide short and direct answer for the user's question.Which tumor type does this image show?,Which tumor type does this image show?,No tumor present.,"```json
{
  ""answer"": ""Glioblastoma""
}
```"
45,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(14).jpg,image_type,Provide short and direct answer for the user's question.What kind of image view is this?,What kind of image view is this?,Scan is from axial direction.,"```json
{
  ""answer"": ""Axial""
}
```"
46,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(15).jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,"No, there is no tumor present.","```json
{
  ""answer"": ""No abnormal growth detected.""
}
```"
47,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(15).jpg,tumor_type,Provide short and direct answer for the user's question.Which tumor type does this image show?,Which tumor type does this image show?,No tumor present.,"{""answer"": ""Brain tumor"""
48,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(15).jpg,image_type,Provide short and direct answer for the user's question.What image type is displayed here?,What image type is displayed here?,View type: axial.,"```json
{
  ""answer"": ""CT scan""
}
```"
49,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(16).jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,The scan appears normal.,"```json
{
  ""answer"": ""No abnormal growth detected.""
}
```"
50,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(16).jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{
  ""answer"": ""The specific tumor present here is a brain tumor.""
}
```"
51,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(16).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,Axial slice is shown.,"{""answer"": ""Axial view"""
52,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(17).jpg,tumor_presence,Provide short and direct answer for the user's question.Is there a tumor visible in this scan?,Is there a tumor visible in this scan?,There’s no abnormality in the image.,"```json
{
  ""answer"": ""No tumor visible""
}
```"
53,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(17).jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""Brain tumor""
}
```"
54,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(17).jpg,image_type,Provide short and direct answer for the user's question.What is the view type of this image?,What is the view type of this image?,Orientation: sagittal.,"{""answer"": ""Axial view"""
55,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(18).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this brain image contain a tumor?,Does this brain image contain a tumor?,No tumor can be seen.,"```json
{
  ""answer"": ""No""
}
```"
56,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(18).jpg,tumor_type,Provide short and direct answer for the user's question.Identify the tumor type in this scan.,Identify the tumor type in this scan.,No tumor present.,"```json
{
  ""answer"": ""The tumor type cannot be identified from this image alone. A radiologist's interpretation is required.""
}
```"
57,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(18).jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,This scan uses axial plane.,"```json
{
  ""answer"": ""Axial""
}
```"
58,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(19).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this brain image contain a tumor?,Does this brain image contain a tumor?,No tumor is detected here.,"```json
{
  ""answer"": ""No tumor detected""
}
```"
59,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(19).jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""Brain tumor""
}
```"
60,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(19).jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,Sagittal plane is shown.,"```json
{
  ""answer"": ""Axial""
}
```"
61,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(20).jpg,tumor_presence,Provide short and direct answer for the user's question.Can a tumor be observed in the image?,Can a tumor be observed in the image?,The scan appears normal.,"```json
{
  ""answer"": ""No tumor observed""
}
```"
62,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(20).jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""The image appears to be an MRI scan of the brain, but without more context or a specific area of interest, it's not possible to accurately identify the type of tumor. A medical professional would need to analyze the scan in detail to provide an accurate diagnosis.""
}
```"
63,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(20).jpg,image_type,Provide short and direct answer for the user's question.Which plane is shown in the image?,Which plane is shown in the image?,Scan is from axial direction.,"{""answer"": ""Axial plane"""
64,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(21).jpg,tumor_presence,Provide short and direct answer for the user's question.Is this an example of a tumorous brain scan?,Is this an example of a tumorous brain scan?,The image does not show a tumor.,"```json
{
  ""answer"": ""No""
}
```"
