id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
1,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI image show a tumor?,The image does not show a tumor.,"Yes, abnormal tissue is seen."
2,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can you tell the type of tumor shown?,No tumor present.,No tumor present.
3,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What image type is displayed here?,Axial slice is shown.,Axial type image.
4,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is a tumor present in the scan provided?,The image does not show a tumor.,No tumor is detected here.
5,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What specific tumor is present here?,No tumor present.,No tumor present.
6,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which anatomical plane is used?,Axial slice is shown.,Axial plane is shown.
7,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI image show a tumor?,No tumor can be seen.,No tumor is detected here.
8,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which tumor type does this image show?,No tumor present.,No tumor present.
9,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What's the viewing angle here?,Axial perspective image.,Axial type image.
10,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI image show a tumor?,No tumor can be seen.,No tumor is detected here.
