id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
1,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,The scan appears normal.,"```json
{
  ""answer"": ""No""
}
```"
2,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,tumor_type,Provide short and direct answer for the user's question.What tumor subtype is this?,What tumor subtype is this?,No tumor present.,"```json
{
  ""answer"": ""This image appears to be a CT scan of the brain, but it does not show a tumor. The image shows a normal brain structure with some areas of increased density, which could be due to various reasons such as calcifications, edema, or other pathologies. Without additional clinical information and a more detailed analysis by a radiologist, it is not possible to determine the exact nature of the findings or the presence of a tumor. A definitive diagnosis would require further imaging and clinical evaluation.""
}
```"
3,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,Scan is from axial direction.,"```json
{
  ""answer"": ""Axial""
}
```"
4,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,"No, there is no tumor present.","```json
{
  ""answer"": ""No""
}
```"
5,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""No tumor is visible in this image.""
}
```"
6,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,image_type,Provide short and direct answer for the user's question.Identify the image orientation.,Identify the image orientation.,View type: axial.,"```json
{
  ""answer"": ""The image is in axial orientation.""
}
```"
7,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,"No, there is no tumor present.","```json
{
  ""answer"": ""No""
}
```"
8,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""No tumor is visible in this image. The image appears to be a normal CT scan of the brain.""
}
```"
9,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,image_type,Provide short and direct answer for the user's question.Can you name the scan view type?,Can you name the scan view type?,Scan is from axial direction.,"```json
{
  ""answer"": ""Axial""
}
```"
10,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI show signs of a tumor?,Does this MRI show signs of a tumor?,No tumor is detected here.,"```json
{
  ""answer"": ""No""
}
```"
11,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""Glioblastoma""
}
```"
12,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,image_type,Provide short and direct answer for the user's question.In which direction is this MRI taken?,In which direction is this MRI taken?,This is a sagittal view.,"```json
{
  ""answer"": ""Coronal""
}
```"
13,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0014.jpg,tumor_presence,Provide short and direct answer for the user's question.Is there any abnormal growth in this MRI?,Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,"```json
{
  ""answer"": ""No""
}
```"
14,/home/parthpk/NeuroChat//Brain Tumor Classification (MRI)/Test/notumor/Te-no_0014.jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""glioblastoma""
}
```"
