id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
1,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,The image does not show a tumor.,"```json
{
  ""answer"": ""No""
}
```"
2,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,tumor_type,Provide short and direct answer for the user's question.Can you tell the type of tumor shown?,Can you tell the type of tumor shown?,No tumor present.,"```json
{
  ""answer"": ""The image provided is a T1-weighted MRI scan of the brain, which shows a mass lesion in the left temporal lobe. However, without additional clinical information and a more detailed analysis by a radiologist, it is not possible to definitively determine the type of tumor. The mass could be a variety of things, including a glioma, meningioma, or other types of brain tumors. Further imaging with contrast and additional sequences, as well as clinical correlation, would be necessary for a precise diagnosis.""
}
```"
3,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(0).jpg,image_type,Provide short and direct answer for the user's question.What image type is displayed here?,What image type is displayed here?,Axial slice is shown.,"```json
{
  ""answer"": ""MRI""
}
```"
4,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,The image does not show a tumor.,"```json
{
  ""answer"": ""No""
}
```"
5,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{
  ""answer"": ""The image provided is a CT scan of the brain, which shows a mass lesion. However, without additional clinical information and a detailed analysis by a radiologist, it is not possible to definitively identify the specific type of tumor present. The mass appears to be located in the right temporal lobe, and it could be a variety of tumors including gliomas, meningiomas, or other types of brain tumors. A definitive diagnosis would require further imaging studies and possibly a biopsy.""
}
```"
6,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(1).jpg,image_type,Provide short and direct answer for the user's question.Which anatomical plane is used?,Which anatomical plane is used?,Axial slice is shown.,"```json
{
  ""answer"": ""Axial""
}
```"
7,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor can be seen.,"```json
{
  ""answer"": ""No""
}
```"
8,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,tumor_type,Provide short and direct answer for the user's question.Which tumor type does this image show?,Which tumor type does this image show?,No tumor present.,"```json
{
  ""answer"": ""glioblastoma multiforme""
}
```"
9,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(2).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,Axial perspective image.,"```json
{
  ""answer"": ""axial""
}
```"
10,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor can be seen.,"```json
{
  ""answer"": ""No""
}
```"
11,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,tumor_type,Provide short and direct answer for the user's question.What kind of tumor is present in the image?,What kind of tumor is present in the image?,No tumor present.,"```json
{
  ""answer"": ""The image shows a mass lesion in the brain, which could be indicative of a variety of tumors. However, without additional clinical information and imaging details, it is not possible to definitively diagnose the type of tumor present. A neurosurgeon or radiologist would need to interpret the image in the context of the patient's medical history and other diagnostic tests to determine the specific type of tumor.""
}
```"
12,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(3).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,View type: axial.,"```json
{
  ""answer"": ""Axial""
}
```"
13,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,No indication of tumor.,"```json
{
  ""answer"": ""No""
}
```"
14,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,tumor_type,Provide short and direct answer for the user's question.What specific tumor is present here?,What specific tumor is present here?,No tumor present.,"```json
{
  ""answer"": ""The image shows a tumor in the cerebellum, which is a part of the brain located at the back of the skull. The exact type of tumor cannot be determined from this image alone, but it appears to be a mass lesion in the cerebellum.""
}
```"
15,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(4).jpg,image_type,Provide short and direct answer for the user's question.Identify the image orientation.,Identify the image orientation.,Sagittal type image.,"```json
{
  ""answer"": ""The image is in the sagittal orientation.""
}
```"
16,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,tumor_presence,Provide short and direct answer for the user's question.Can you detect any tumor in this image?,Can you detect any tumor in this image?,The image is tumor-free.,"```json
{
  ""answer"": ""No""
}
```"
17,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,tumor_type,Provide short and direct answer for the user's question.Specify the tumor type visible here.,Specify the tumor type visible here.,No tumor present.,"```json
{
  ""answer"": ""Glioblastoma""
}
```"
18,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(5).jpg,image_type,Provide short and direct answer for the user's question.What's the viewing angle here?,What's the viewing angle here?,Scan is from coronal direction.,"```json
{
  ""answer"": ""Coronal""
}
```"
19,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,tumor_presence,Provide short and direct answer for the user's question.Does this MRI image show a tumor?,Does this MRI image show a tumor?,No tumor is detected here.,"```json
{
  ""answer"": ""No""
}
```"
20,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,tumor_type,Provide short and direct answer for the user's question.What is the detected tumor type?,What is the detected tumor type?,No tumor present.,"```json
{
  ""answer"": ""glioblastoma""
}
```"
21,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(6).jpg,image_type,Provide short and direct answer for the user's question.What is the view type of this image?,What is the view type of this image?,Axial perspective image.,"```json
{
  ""answer"": ""Axial""
}
```"
22,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,tumor_presence,Provide short and direct answer for the user's question.Is a tumor present in the scan provided?,Is a tumor present in the scan provided?,"No, there is no tumor present.","```json
{
  ""answer"": ""No""
}
```"
23,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,tumor_type,Provide short and direct answer for the user's question.What is the detected tumor type?,What is the detected tumor type?,No tumor present.,"```json
{
  ""answer"": ""glioblastoma""
}
```"
24,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(7).jpg,image_type,Provide short and direct answer for the user's question.What kind of image view is this?,What kind of image view is this?,Axial slice is shown.,"```json
{
  ""answer"": ""Axial""
}
```"
