dataset_name,path,image,question,answer,type
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,Te-no_0010.jpg,Is a tumor present in the scan provided?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,Te-no_0011.jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,Te-no_0012.jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,Te-no_0013.jpg,Does this MRI show signs of a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0014.jpg,Te-no_0014.jpg,Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0015.jpg,Te-no_0015.jpg,Can a tumor be observed in the image?,The image does not show a tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0016.jpg,Te-no_0016.jpg,Is the scan indicating the presence of a tumor?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0017.jpg,Te-no_0017.jpg,Can you detect any tumor in this image?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0018.jpg,Te-no_0018.jpg,Is the scan indicating the presence of a tumor?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0019.jpg,Te-no_0019.jpg,Is a tumor present in the scan provided?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0020.jpg,Te-no_0020.jpg,Is there a tumor visible in this scan?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0021.jpg,Te-no_0021.jpg,Does this MRI show signs of a tumor?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0022.jpg,Te-no_0022.jpg,Does this MRI show signs of a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0023.jpg,Te-no_0023.jpg,Does this MRI show signs of a tumor?,No growth is present.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0024.jpg,Te-no_0024.jpg,Can you detect any tumor in this image?,There’s no abnormality in the image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0025.jpg,Te-no_0025.jpg,Is there a tumor visible in this scan?,Tumor not found in this image.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0026.jpg,Te-no_0026.jpg,Is this an example of a tumorous brain scan?,The image is tumor-free.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0027.jpg,Te-no_0027.jpg,Is this an example of a tumorous brain scan?,The scan appears normal.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0028.jpg,Te-no_0028.jpg,Does this MRI show signs of a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0029.jpg,Te-no_0029.jpg,Does this brain image contain a tumor?,"No, there is no tumor present.",tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0030.jpg,Te-no_0030.jpg,Can a tumor be observed in the image?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0031.jpg,Te-no_0031.jpg,Does this MRI show signs of a tumor?,No indication of tumor.,tumor_presense
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0032.jpg,Te-no_0032.jpg,Can you detect any tumor in this image?,Tumor not found in this image.,tumor_presense
