dataset_name,path,image,question,answer,type
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(0).jpg,image(0).jpg,Does this MRI image show a tumor?,The image does not show a tumor.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(1).jpg,image(1).jpg,Is a tumor present in the scan provided?,The image does not show a tumor.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(2).jpg,image(2).jpg,Does this MRI image show a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(3).jpg,image(3).jpg,Does this MRI image show a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(4).jpg,image(4).jpg,Can you detect any tumor in this image?,No indication of tumor.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(5).jpg,image(5).jpg,Can you detect any tumor in this image?,The image is tumor-free.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(6).jpg,image(6).jpg,Does this MRI image show a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(7).jpg,image(7).jpg,Is a tumor present in the scan provided?,"No, there is no tumor present.",tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(8).jpg,image(8).jpg,Can you detect any tumor in this image?,"No, there is no tumor present.",tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(9).jpg,image(9).jpg,Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(10).jpg,image(10).jpg,Can a tumor be observed in the image?,No growth is present.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(11).jpg,image(11).jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(12).jpg,image(12).jpg,Can a tumor be observed in the image?,There’s no abnormality in the image.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(13).jpg,image(13).jpg,Does this MRI image show a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(14).jpg,image(14).jpg,Is there any abnormal growth in this MRI?,The image does not show a tumor.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(15).jpg,image(15).jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(16).jpg,image(16).jpg,Is there any abnormal growth in this MRI?,The scan appears normal.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(17).jpg,image(17).jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(18).jpg,image(18).jpg,Does this brain image contain a tumor?,No tumor can be seen.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(19).jpg,image(19).jpg,Does this brain image contain a tumor?,No tumor is detected here.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(20).jpg,image(20).jpg,Can a tumor be observed in the image?,The scan appears normal.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(21).jpg,image(21).jpg,Is this an example of a tumorous brain scan?,The image does not show a tumor.,tumor_presense
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(22).jpg,image(22).jpg,Can a tumor be observed in the image?,No growth is present.,tumor_presense
