dataset_name,path,image,question_1,answer_1,question_2,answer_2,question_3,answer_3
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0010.jpg,Te-no_0010.jpg,Is a tumor present in the scan provided?,The scan appears normal.,What tumor subtype is this?,No tumor present.,Can you name the scan view type?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0011.jpg,Te-no_0011.jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",Specify the tumor type visible here.,No tumor present.,Identify the image orientation.,View type: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0012.jpg,Te-no_0012.jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",Can you tell the type of tumor shown?,No tumor present.,Can you name the scan view type?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0013.jpg,Te-no_0013.jpg,Does this MRI show signs of a tumor?,No tumor is detected here.,Specify the tumor type visible here.,No tumor present.,In which direction is this MRI taken?,This is a sagittal view.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0014.jpg,Te-no_0014.jpg,Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,Specify the tumor type visible here.,No tumor present.,What is the imaging perspective?,Axial perspective image.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0015.jpg,Te-no_0015.jpg,Can a tumor be observed in the image?,The image does not show a tumor.,What kind of tumor is present in the image?,No tumor present.,What is the view type of this image?,The image is sagittal.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0016.jpg,Te-no_0016.jpg,Is the scan indicating the presence of a tumor?,The scan appears normal.,What is the detected tumor type?,No tumor present.,What is the imaging perspective?,Scan is from axial direction.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0017.jpg,Te-no_0017.jpg,Can you detect any tumor in this image?,No tumor is detected here.,What is the classification of this tumor?,No tumor present.,What is the imaging perspective?,Orientation: axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0018.jpg,Te-no_0018.jpg,Is the scan indicating the presence of a tumor?,Tumor not found in this image.,What specific tumor is present here?,No tumor present.,What is the imaging perspective?,Axial slice is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0019.jpg,Te-no_0019.jpg,Is a tumor present in the scan provided?,No growth is present.,Which tumor type does this image show?,No tumor present.,Identify the image orientation.,This scan uses axial plane.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0020.jpg,Te-no_0020.jpg,Is there a tumor visible in this scan?,The image is tumor-free.,What kind of tumor is present in the image?,No tumor present.,In which direction is this MRI taken?,Axial plane is shown.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0021.jpg,Te-no_0021.jpg,Does this MRI show signs of a tumor?,Tumor not found in this image.,Specify the tumor type visible here.,No tumor present.,What image type is displayed here?,The image is axial.
Brain Tumor Classification (MRI),Brain Tumor Classification (MRI)/Test/notumor/Te-no_0022.jpg,Te-no_0022.jpg,Does this MRI show signs of a tumor?,No tumor is detected here.,Can you tell the type of tumor shown?,No tumor present.,Which plane is shown in the image?,Orientation: axial.
