dataset_name,path,image,question_1,answer_1,question_2,answer_2,question_3,answer_3
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(0).jpg,image(0).jpg,Does this MRI image show a tumor?,The image does not show a tumor.,Can you tell the type of tumor shown?,No tumor present.,What image type is displayed here?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(1).jpg,image(1).jpg,Is a tumor present in the scan provided?,The image does not show a tumor.,What specific tumor is present here?,No tumor present.,Which anatomical plane is used?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(2).jpg,image(2).jpg,Does this MRI image show a tumor?,No tumor can be seen.,Which tumor type does this image show?,No tumor present.,What's the viewing angle here?,Axial perspective image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(3).jpg,image(3).jpg,Does this MRI image show a tumor?,No tumor can be seen.,What kind of tumor is present in the image?,No tumor present.,What's the viewing angle here?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(4).jpg,image(4).jpg,Can you detect any tumor in this image?,No indication of tumor.,What specific tumor is present here?,No tumor present.,Identify the image orientation.,Sagittal type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(5).jpg,image(5).jpg,Can you detect any tumor in this image?,The image is tumor-free.,Specify the tumor type visible here.,No tumor present.,What's the viewing angle here?,Scan is from coronal direction.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(6).jpg,image(6).jpg,Does this MRI image show a tumor?,No tumor is detected here.,What is the detected tumor type?,No tumor present.,What is the view type of this image?,Axial perspective image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(7).jpg,image(7).jpg,Is a tumor present in the scan provided?,"No, there is no tumor present.",What is the detected tumor type?,No tumor present.,What kind of image view is this?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(8).jpg,image(8).jpg,Can you detect any tumor in this image?,"No, there is no tumor present.",What tumor subtype is this?,No tumor present.,What image type is displayed here?,Axial type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(9).jpg,image(9).jpg,Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,What tumor subtype is this?,No tumor present.,What kind of image view is this?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(10).jpg,image(10).jpg,Can a tumor be observed in the image?,No growth is present.,Can you tell the type of tumor shown?,No tumor present.,Which plane is shown in the image?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(11).jpg,image(11).jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,Identify the tumor type in this scan.,No tumor present.,What's the viewing angle here?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(12).jpg,image(12).jpg,Can a tumor be observed in the image?,There’s no abnormality in the image.,What tumor subtype is this?,No tumor present.,What is the imaging perspective?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(13).jpg,image(13).jpg,Does this MRI image show a tumor?,No tumor can be seen.,What is the classification of this tumor?,No tumor present.,What kind of image view is this?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(14).jpg,image(14).jpg,Is there any abnormal growth in this MRI?,The image does not show a tumor.,Which tumor type does this image show?,No tumor present.,What kind of image view is this?,Scan is from axial direction.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(15).jpg,image(15).jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",Which tumor type does this image show?,No tumor present.,What image type is displayed here?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(16).jpg,image(16).jpg,Is there any abnormal growth in this MRI?,The scan appears normal.,What specific tumor is present here?,No tumor present.,What's the viewing angle here?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(17).jpg,image(17).jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,Specify the tumor type visible here.,No tumor present.,What is the view type of this image?,Orientation: sagittal.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(18).jpg,image(18).jpg,Does this brain image contain a tumor?,No tumor can be seen.,Identify the tumor type in this scan.,No tumor present.,Can you name the scan view type?,This scan uses axial plane.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(19).jpg,image(19).jpg,Does this brain image contain a tumor?,No tumor is detected here.,Can you tell the type of tumor shown?,No tumor present.,Can you name the scan view type?,Sagittal plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(20).jpg,image(20).jpg,Can a tumor be observed in the image?,The scan appears normal.,Can you tell the type of tumor shown?,No tumor present.,Which plane is shown in the image?,Scan is from axial direction.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(21).jpg,image(21).jpg,Is this an example of a tumorous brain scan?,The image does not show a tumor.,What is the detected tumor type?,No tumor present.,What is the view type of this image?,Scan is from axial direction.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(22).jpg,image(22).jpg,Can a tumor be observed in the image?,No growth is present.,What specific tumor is present here?,No tumor present.,What kind of image view is this?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(23).jpg,image(23).jpg,Does this brain image contain a tumor?,No tumor is detected here.,Which tumor type does this image show?,No tumor present.,What's the viewing angle here?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(24).jpg,image(24).jpg,Is there any abnormal growth in this MRI?,The scan appears normal.,What is the classification of this tumor?,No tumor present.,In which direction is this MRI taken?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(25).jpg,image(25).jpg,Does this MRI image show a tumor?,No tumor can be seen.,Which tumor type does this image show?,No tumor present.,In which direction is this MRI taken?,Axial type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(26).jpg,image(26).jpg,Does this MRI image show a tumor?,The image does not show a tumor.,What is the detected tumor type?,No tumor present.,In which direction is this MRI taken?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(27).jpg,image(27).jpg,Does this MRI show signs of a tumor?,No growth is present.,What is the detected tumor type?,No tumor present.,Identify the image orientation.,Axial perspective image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(28).jpg,image(28).jpg,Does this MRI show signs of a tumor?,"No, there is no tumor present.",What is the detected tumor type?,No tumor present.,Identify the image orientation.,The image is coronal.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(29).jpg,image(29).jpg,Can you detect any tumor in this image?,The scan appears normal.,What is the classification of this tumor?,No tumor present.,What's the viewing angle here?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(30).jpg,image(30).jpg,Can a tumor be observed in the image?,The image is tumor-free.,What tumor subtype is this?,No tumor present.,What kind of image view is this?,Scan is from axial direction.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(31).jpg,image(31).jpg,Does this brain image contain a tumor?,No growth is present.,What is the classification of this tumor?,No tumor present.,What image type is displayed here?,Coronal type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(32).jpg,image(32).jpg,Does this MRI image show a tumor?,No tumor can be seen.,What tumor subtype is this?,No tumor present.,What's the viewing angle here?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(33).jpg,image(33).jpg,Does this MRI image show a tumor?,The image does not show a tumor.,Specify the tumor type visible here.,No tumor present.,Which plane is shown in the image?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(34).jpg,image(34).jpg,Can a tumor be observed in the image?,No indication of tumor.,Which tumor type does this image show?,No tumor present.,What image type is displayed here?,Axial type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(35).jpg,image(35).jpg,Is the scan indicating the presence of a tumor?,There’s no abnormality in the image.,Which tumor type does this image show?,No tumor present.,Which plane is shown in the image?,The image is axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(36).jpg,image(36).jpg,Does this MRI show signs of a tumor?,Tumor not found in this image.,Can you tell the type of tumor shown?,No tumor present.,In which direction is this MRI taken?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(37).jpg,image(37).jpg,Is there a tumor visible in this scan?,The image is tumor-free.,What is the classification of this tumor?,No tumor present.,Which plane is shown in the image?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(38).jpg,image(38).jpg,Is the scan indicating the presence of a tumor?,The image does not show a tumor.,Which tumor type does this image show?,No tumor present.,What kind of image view is this?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(39).jpg,image(39).jpg,Is there any abnormal growth in this MRI?,No growth is present.,Specify the tumor type visible here.,No tumor present.,Identify the image orientation.,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(40).jpg,image(40).jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",Which tumor type does this image show?,No tumor present.,Can you name the scan view type?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(41).jpg,image(41).jpg,Is this an example of a tumorous brain scan?,No tumor is detected here.,What is the detected tumor type?,No tumor present.,In which direction is this MRI taken?,The image is axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(42).jpg,image(42).jpg,Does this brain image contain a tumor?,The image does not show a tumor.,What is the classification of this tumor?,No tumor present.,What is the view type of this image?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(43).jpg,image(43).jpg,Is this an example of a tumorous brain scan?,The image is tumor-free.,What specific tumor is present here?,No tumor present.,What kind of image view is this?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(44).jpg,image(44).jpg,Is a tumor present in the scan provided?,The image does not show a tumor.,What does the scan indicate as tumor type?,No tumor present.,Which plane is shown in the image?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(45).jpg,image(45).jpg,Does this MRI image show a tumor?,The image does not show a tumor.,What is the detected tumor type?,No tumor present.,In which direction is this MRI taken?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(46).jpg,image(46).jpg,Can you detect any tumor in this image?,No tumor is detected here.,What tumor subtype is this?,No tumor present.,What's the viewing angle here?,Axial type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(47).jpg,image(47).jpg,Can you detect any tumor in this image?,No tumor is detected here.,What is the classification of this tumor?,No tumor present.,Which plane is shown in the image?,The image is axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(48).jpg,image(48).jpg,Can a tumor be observed in the image?,The image does not show a tumor.,What is the detected tumor type?,No tumor present.,What kind of image view is this?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(49).jpg,image(49).jpg,Is this an example of a tumorous brain scan?,Tumor not found in this image.,Specify the tumor type visible here.,No tumor present.,What kind of image view is this?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(50).jpg,image(50).jpg,Does this MRI image show a tumor?,Tumor not found in this image.,Specify the tumor type visible here.,No tumor present.,Can you name the scan view type?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(51).jpg,image(51).jpg,Is a tumor present in the scan provided?,There’s no abnormality in the image.,Specify the tumor type visible here.,No tumor present.,What is the view type of this image?,Axial slice is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(52).jpg,image(52).jpg,Is a tumor present in the scan provided?,No tumor is detected here.,What is the classification of this tumor?,No tumor present.,Which anatomical plane is used?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(53).jpg,image(53).jpg,Is there a tumor visible in this scan?,There’s no abnormality in the image.,What does the scan indicate as tumor type?,No tumor present.,What kind of image view is this?,Axial type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(54).jpg,image(54).jpg,Is there any abnormal growth in this MRI?,No tumor can be seen.,What specific tumor is present here?,No tumor present.,Which plane is shown in the image?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(55).jpg,image(55).jpg,Is this an example of a tumorous brain scan?,No tumor is detected here.,What kind of tumor is present in the image?,No tumor present.,Which anatomical plane is used?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(56).jpg,image(56).jpg,Is the scan indicating the presence of a tumor?,No tumor can be seen.,What tumor subtype is this?,No tumor present.,In which direction is this MRI taken?,The image is axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(57).jpg,image(57).jpg,Does this MRI image show a tumor?,The scan appears normal.,What is the detected tumor type?,No tumor present.,Which plane is shown in the image?,This scan uses axial plane.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(58).jpg,image(58).jpg,Is there any abnormal growth in this MRI?,No indication of tumor.,Identify the tumor type in this scan.,No tumor present.,Which plane is shown in the image?,The image is axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(59).jpg,image(59).jpg,Is there any abnormal growth in this MRI?,No tumor can be seen.,What is the detected tumor type?,No tumor present.,Which plane is shown in the image?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(60).jpg,image(60).jpg,Does this MRI image show a tumor?,Tumor not found in this image.,What is the detected tumor type?,No tumor present.,Can you name the scan view type?,Axial plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(61).jpg,image(61).jpg,Is there a tumor visible in this scan?,No tumor can be seen.,What is the detected tumor type?,No tumor present.,What image type is displayed here?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(62).jpg,image(62).jpg,Can you detect any tumor in this image?,No tumor is detected here.,Which tumor type does this image show?,No tumor present.,Can you name the scan view type?,Axial perspective image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(63).jpg,image(63).jpg,Can a tumor be observed in the image?,No tumor is detected here.,What is the classification of this tumor?,No tumor present.,What is the view type of this image?,Axial type image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(64).jpg,image(64).jpg,Can you detect any tumor in this image?,There’s no abnormality in the image.,What is the detected tumor type?,No tumor present.,What image type is displayed here?,Axial perspective image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(65).jpg,image(65).jpg,Is a tumor present in the scan provided?,The image is tumor-free.,Which tumor type does this image show?,No tumor present.,Which anatomical plane is used?,View type: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(66).jpg,image(66).jpg,Is this an example of a tumorous brain scan?,There’s no abnormality in the image.,Can you tell the type of tumor shown?,No tumor present.,Can you name the scan view type?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(67).jpg,image(67).jpg,Is there any abnormal growth in this MRI?,"No, there is no tumor present.",What kind of tumor is present in the image?,No tumor present.,What is the imaging perspective?,This is an axial view.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(68).jpg,image(68).jpg,Is there any abnormal growth in this MRI?,Tumor not found in this image.,Can you tell the type of tumor shown?,No tumor present.,Identify the image orientation.,Coronal plane is shown.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(69).jpg,image(69).jpg,Is there a tumor visible in this scan?,Tumor not found in this image.,What is the classification of this tumor?,No tumor present.,Identify the image orientation.,Axial perspective image.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(70).jpg,image(70).jpg,Does this brain image contain a tumor?,The scan appears normal.,What tumor subtype is this?,No tumor present.,What is the imaging perspective?,Orientation: axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(71).jpg,image(71).jpg,Is the scan indicating the presence of a tumor?,Tumor not found in this image.,Which tumor type does this image show?,No tumor present.,What is the imaging perspective?,The image is axial.
Brain Tumor MRI,Brain Tumor MRI/Test/no_tumor/image(72).jpg,image(72).jpg,Is there a tumor visible in this scan?,"No, there is no tumor present.",What is the detected tumor type?,No tumor present.,What image type is displayed here?,The image is axial.
